"","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Total.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Management..business..and.financial.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Management..business..and.financial.occupations..Management.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Management..business..and.financial.occupations..Business.and.financial.operations.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations..Computer.and.mathematical.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations..Architecture.and.engineering.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations..Life..physical..and.social.science.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Community.and.social.service.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Legal.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Education..training..and.library.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Arts..design..entertainment..sports..and.media.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Healthcare.practitioners.and.technical.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Healthcare.practitioners.and.technical.occupations..Health.diagnosing.and.treating.practitioners.and.other.technical.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Management..business..science..and.arts.occupations..Healthcare.practitioners.and.technical.occupations..Health.technologists.and.technicians","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Healthcare.support.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Protective.service.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Protective.service.occupations..Fire.fighting.and.prevention..and.other.protective.service.workers.including.supervisors","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Protective.service.occupations..Law.enforcement.workers.including.supervisors","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Food.preparation.and.serving.related.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Building.and.grounds.cleaning.and.maintenance.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Service.occupations..Personal.care.and.service.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Sales.and.office.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Sales.and.office.occupations..Sales.and.related.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Sales.and.office.occupations..Office.and.administrative.support.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Natural.resources..construction..and.maintenance.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Natural.resources..construction..and.maintenance.occupations..Farming..fishing..and.forestry.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Natural.resources..construction..and.maintenance.occupations..Construction.and.extraction.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Natural.resources..construction..and.maintenance.occupations..Installation..maintenance..and.repair.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Production..transportation..and.material.moving.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Production..transportation..and.material.moving.occupations..Production.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Production..transportation..and.material.moving.occupations..Transportation.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Male..Production..transportation..and.material.moving.occupations..Material.moving.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Management..business..and.financial.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Management..business..and.financial.occupations..Management.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Management..business..and.financial.occupations..Business.and.financial.operations.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations..Computer.and.mathematical.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations..Architecture.and.engineering.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Computer..engineering..and.science.occupations..Life..physical..and.social.science.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Community.and.social.service.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Legal.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Education..training..and.library.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Education..legal..community.service..arts..and.media.occupations..Arts..design..entertainment..sports..and.media.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Healthcare.practitioners.and.technical.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Healthcare.practitioners.and.technical.occupations..Health.diagnosing.and.treating.practitioners.and.other.technical.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Management..business..science..and.arts.occupations..Healthcare.practitioners.and.technical.occupations..Health.technologists.and.technicians","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Healthcare.support.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Protective.service.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Protective.service.occupations..Fire.fighting.and.prevention..and.other.protective.service.workers.including.supervisors","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Protective.service.occupations..Law.enforcement.workers.including.supervisors","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Food.preparation.and.serving.related.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Building.and.grounds.cleaning.and.maintenance.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Service.occupations..Personal.care.and.service.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Sales.and.office.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Sales.and.office.occupations..Sales.and.related.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Sales.and.office.occupations..Office.and.administrative.support.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Natural.resources..construction..and.maintenance.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Natural.resources..construction..and.maintenance.occupations..Farming..fishing..and.forestry.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Natural.resources..construction..and.maintenance.occupations..Construction.and.extraction.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Natural.resources..construction..and.maintenance.occupations..Installation..maintenance..and.repair.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Production..transportation..and.material.moving.occupations.","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Production..transportation..and.material.moving.occupations..Production.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Production..transportation..and.material.moving.occupations..Transportation.occupations","SEX.BY.OCCUPATION.FOR.THE.CIVILIAN.EMPLOYED.POPULATION.16.YEARS.AND.OVER..Female..Production..transportation..and.material.moving.occupations..Material.moving.occupations"
"Autauga County, Alabama",24262,12882,3836,1738,1356,382,1030,369,442,219,849,244,45,409,151,219,139,80,2067,69,781,238,543,552,555,110,1975,1066,909,1894,80,956,858,3110,1327,1061,722,11380,4369,1231,634,597,260,168,58,34,1864,229,374,986,275,1014,672,342,2175,475,91,61,30,581,170,858,3893,1329,2564,11,0,11,0,932,595,181,156
"Baldwin County, Alabama",87753,46820,14147,6622,5304,1318,2719,816,1647,256,3089,656,504,1148,781,1717,1325,392,6977,168,1057,536,521,2786,2718,248,8378,5331,3047,8819,397,4812,3610,8499,4182,2971,1346,40933,15843,4863,2941,1922,700,238,275,187,6213,682,539,4024,968,4067,2939,1128,8038,1105,243,156,87,3227,1238,2225,15100,6905,8195,410,23,308,79,1542,1031,325,186
"Barbour County, Alabama",8993,4791,884,499,402,97,97,41,56,0,250,41,25,160,24,38,13,25,691,0,269,72,197,114,291,17,772,346,426,1020,170,487,363,1424,821,369,234,4202,1518,468,337,131,36,9,16,11,675,74,22,553,26,339,164,175,704,177,27,19,8,261,137,102,1223,444,779,45,15,28,2,712,519,58,135
"Bibb County, Alabama",8354,4816,788,357,254,103,139,45,94,0,229,149,0,66,14,63,58,5,631,0,130,36,94,155,346,0,499,267,232,1214,35,713,466,1684,737,442,505,3538,991,187,82,105,12,10,2,0,474,52,0,422,0,318,192,126,851,273,7,3,4,166,198,207,1100,287,813,175,20,155,0,421,102,57,262
"Blount County, Alabama",21593,12169,2486,1291,1206,85,487,197,256,34,517,163,25,170,159,191,96,95,1202,81,445,177,268,223,426,27,1850,1162,688,3080,265,1421,1394,3551,1501,1237,813,9424,3851,1168,688,480,73,29,7,37,1145,177,137,702,129,1465,1020,445,1522,374,50,20,30,468,172,458,3271,781,2490,64,18,29,17,716,578,92,46
"Bullock County, Alabama",4174,2369,352,244,185,59,11,0,11,0,97,36,61,0,0,0,0,0,356,0,84,0,84,23,249,0,198,145,53,630,316,200,114,833,446,162,225,1805,378,146,103,43,21,0,21,0,110,0,16,69,25,101,46,55,374,145,17,0,17,63,81,68,614,320,294,27,27,0,0,412,389,3,20
"Butler County, Alabama",7810,3779,808,379,328,51,96,32,29,35,219,59,12,109,39,114,92,22,526,4,128,40,88,132,224,38,361,215,146,753,50,498,205,1331,648,366,317,4031,1390,440,349,91,52,5,47,0,463,57,23,324,59,435,256,179,811,254,60,20,40,295,90,112,1211,459,752,104,15,23,66,515,471,44,0
"Calhoun County, Alabama",47010,24572,5736,2635,2125,510,1046,276,594,176,1486,232,143,728,383,569,363,206,3507,64,966,397,569,1161,937,379,3770,2165,1605,4551,216,2378,1957,7008,3884,1621,1503,22438,7572,1938,1371,567,233,183,7,43,3170,443,38,2533,156,2231,1346,885,4699,948,274,207,67,1542,839,1096,7408,3040,4368,357,57,137,163,2402,1745,332,325
"Chambers County, Alabama",14031,7335,1422,645,512,133,253,48,128,77,317,41,36,180,60,207,146,61,922,0,281,168,113,260,358,23,886,470,416,1534,135,528,871,2571,1580,350,641,6696,1815,676,317,359,16,0,16,0,596,112,24,386,74,527,319,208,982,156,19,9,10,360,150,297,2655,951,1704,114,2,33,79,1130,909,67,154
"Cherokee County, Alabama",10193,5672,1342,729,656,73,242,42,184,16,167,35,39,67,26,204,137,67,700,12,198,50,148,137,353,0,623,325,298,1243,111,582,550,1764,1053,414,297,4521,1816,335,235,100,83,0,10,73,528,37,21,437,33,870,499,371,915,282,62,62,0,334,30,207,1183,382,801,50,19,24,7,557,416,82,59
"Chilton County, Alabama",17627,9970,2226,1386,1079,307,426,220,168,38,332,121,20,119,72,82,54,28,1147,39,257,31,226,297,554,0,1347,847,500,2532,225,1500,807,2718,1400,827,491,7657,2413,700,502,198,144,71,41,32,1007,163,111,677,56,562,313,249,1649,343,58,58,0,576,233,439,2827,1175,1652,220,13,105,102,548,280,143,125
"Choctaw County, Alabama",4260,2352,414,181,159,22,41,23,17,1,92,42,0,50,0,100,51,49,252,0,36,21,15,54,123,39,222,100,122,754,102,406,246,710,433,105,172,1908,666,144,88,56,6,6,0,0,238,27,0,180,31,278,194,84,393,154,3,3,0,151,21,64,617,185,432,13,7,6,0,219,150,57,12
"Clarke County, Alabama",8159,4377,675,351,276,75,62,9,18,35,143,107,0,31,5,119,92,27,469,33,161,80,81,80,160,35,489,220,269,1019,65,554,400,1725,851,407,467,3782,1068,190,156,34,89,11,13,65,428,32,77,312,7,361,195,166,662,86,18,18,0,181,269,108,1508,772,736,9,0,9,0,535,129,239,167
"Clay County, Alabama",5470,2926,426,276,241,35,39,17,14,8,82,12,31,18,21,29,25,4,208,6,77,62,15,45,47,33,390,138,252,774,119,416,239,1128,815,174,139,2544,675,181,124,57,5,0,0,5,295,20,4,247,24,194,60,134,573,123,18,11,7,214,104,114,717,195,522,17,0,17,0,562,504,0,58
"Cleburne County, Alabama",5823,3318,681,428,378,50,98,23,57,18,65,20,23,22,0,90,69,21,242,10,53,37,16,67,98,14,438,233,205,1070,160,539,371,887,532,266,89,2505,819,136,77,59,60,37,11,12,326,50,15,255,6,297,144,153,414,75,9,8,1,239,33,58,962,411,551,45,20,0,25,265,221,21,23
"Coffee County, Alabama",21353,11097,2974,1293,1057,236,397,236,115,46,943,132,43,691,77,341,256,85,1753,31,584,368,216,505,537,96,1532,869,663,2444,248,883,1313,2394,1093,891,410,10256,3762,921,643,278,168,80,66,22,1604,253,165,1052,134,1069,664,405,2076,442,79,64,15,762,274,519,3342,1196,2146,150,43,30,77,926,692,94,140
"Colbert County, Alabama",22056,11634,2449,1234,925,309,424,93,277,54,554,95,34,334,91,237,219,18,1730,78,266,183,83,483,855,48,1788,1236,552,2286,46,1116,1124,3381,1630,790,961,10422,3587,1052,689,363,250,91,130,29,1083,115,41,862,65,1202,736,466,1924,594,35,9,26,643,258,394,3816,1382,2434,47,0,42,5,1048,788,103,157
"Conecuh County, Alabama",3794,2135,302,92,82,10,50,0,37,13,113,31,3,31,48,47,8,39,252,2,39,11,28,90,117,4,368,155,213,421,47,211,163,792,350,286,156,1659,371,135,93,42,4,0,4,0,136,1,2,133,0,96,69,27,481,164,27,27,0,131,81,78,497,144,353,14,0,5,9,296,209,0,87
"Coosa County, Alabama",3747,2190,272,169,84,85,65,29,36,0,32,18,0,14,0,6,0,6,370,18,63,21,42,61,205,23,282,107,175,428,5,193,230,838,410,202,226,1557,390,124,55,69,11,6,5,0,93,13,31,40,9,162,46,116,496,149,14,0,14,149,33,151,478,195,283,0,0,0,0,193,135,55,3
"Covington County, Alabama",14441,7992,1764,914,779,135,381,128,199,54,312,100,47,131,34,157,103,54,825,24,224,114,110,145,362,70,1147,677,470,2217,207,1291,719,2039,1030,736,273,6449,2264,619,390,229,92,16,48,28,803,59,67,624,53,750,428,322,1357,292,73,5,68,395,241,356,2080,637,1443,72,6,20,46,676,474,119,83
"Crenshaw County, Alabama",5693,3163,659,399,356,43,93,30,63,0,106,47,3,49,7,61,23,38,256,4,53,19,34,44,126,29,445,300,145,760,109,334,317,1043,594,300,149,2530,821,255,123,132,36,23,0,13,358,86,8,249,15,172,100,72,445,74,12,10,2,114,73,172,913,286,627,31,14,8,9,320,225,46,49
"Cullman County, Alabama",32232,18076,4134,1867,1508,359,681,200,465,16,934,273,86,324,251,652,351,301,2120,145,406,136,270,503,867,199,2674,1572,1102,4277,330,2265,1682,4871,2264,1355,1252,14156,5018,1426,1021,405,191,81,75,35,1489,198,138,1035,118,1912,1009,903,2810,822,86,43,43,801,419,682,5043,2040,3003,180,62,84,34,1105,721,211,173
"Dale County, Alabama",18495,9647,2124,972,793,179,364,126,213,25,594,104,49,318,123,194,113,81,1232,23,395,275,120,402,303,109,1583,819,764,2432,110,745,1577,2276,1048,889,339,8848,2992,1126,813,313,65,24,4,37,911,103,36,724,48,890,448,442,1776,449,97,59,38,481,336,413,3096,1395,1701,142,24,44,74,842,490,150,202
"Dallas County, Alabama",14379,7394,1607,762,701,61,307,20,112,175,426,178,58,183,7,112,89,23,1333,50,384,123,261,417,299,183,848,463,385,1219,165,592,462,2387,1382,523,482,6985,2220,649,424,225,32,7,6,19,722,193,6,491,32,817,467,350,1430,347,124,107,17,390,183,386,2076,655,1421,105,11,23,71,1154,857,152,145
"DeKalb County, Alabama",27980,15793,2990,1568,1368,200,375,129,208,38,750,142,92,408,108,297,164,133,1880,12,477,205,272,365,808,218,2286,1170,1116,3218,446,1566,1206,5419,3237,1228,954,12187,3130,869,633,236,115,80,18,17,1111,121,8,910,72,1035,551,484,2723,638,37,2,35,830,431,787,3799,1380,2419,118,53,25,40,2417,1947,132,338
"Elmore County, Alabama",33355,16719,4409,1962,1562,400,1245,757,351,137,900,235,138,316,211,302,203,99,2225,49,869,373,496,414,820,73,2568,1505,1063,3447,87,1994,1366,4070,2189,1187,694,16636,6825,2704,1718,986,399,246,61,92,2096,350,208,1359,179,1626,937,689,2571,374,235,110,125,890,420,652,5845,1729,4116,29,0,20,9,1366,801,359,206
"Escambia County, Alabama",11977,6440,1245,683,591,92,126,32,87,7,291,117,59,65,50,145,139,6,1103,35,341,135,206,328,385,14,913,559,354,1289,39,710,540,1890,1019,550,321,5537,1595,397,237,160,20,9,0,11,680,58,78,517,27,498,314,184,1480,287,108,57,51,477,313,295,1958,716,1242,44,3,9,32,460,367,77,16
"Etowah County, Alabama",41540,21432,4855,2090,1688,402,890,240,527,123,1019,231,117,504,167,856,690,166,3118,98,729,354,375,772,1296,223,3002,2042,960,3784,153,2032,1599,6673,3293,1914,1466,20108,7021,2030,1241,789,179,98,63,18,2598,503,92,1796,207,2214,1292,922,4694,1048,167,146,21,1849,793,837,5748,1934,3814,227,110,60,57,2418,1842,321,255
"Fayette County, Alabama",6217,3346,693,365,311,54,121,27,80,14,173,87,22,48,16,34,34,0,371,0,141,69,72,41,189,0,296,175,121,737,62,474,201,1249,606,371,272,2871,973,234,146,88,2,0,0,2,424,94,7,309,14,313,181,132,615,189,2,2,0,264,44,116,939,338,601,12,0,4,8,332,257,43,32
"Franklin County, Alabama",12298,7140,1353,633,500,133,333,107,123,103,312,75,25,201,11,75,68,7,610,16,146,73,73,139,278,31,805,446,359,1635,229,875,531,2737,1531,607,599,5158,1465,337,202,135,101,39,62,0,577,68,15,410,84,450,283,167,1078,258,29,8,21,269,87,435,1697,646,1051,114,8,106,0,804,627,88,89
"Geneva County, Alabama",10216,5566,810,527,431,96,79,43,29,7,171,62,16,78,15,33,12,21,765,80,238,131,107,154,276,17,737,412,325,1837,166,766,905,1417,653,461,303,4650,1692,419,290,129,62,25,37,0,651,121,43,434,53,560,215,345,1073,238,5,0,5,342,269,219,1327,451,876,106,15,49,42,452,383,33,36
"Greene County, Alabama",2349,1098,169,115,106,9,13,0,5,8,29,0,0,29,0,12,0,12,134,0,54,54,0,12,55,13,170,93,77,193,12,137,44,432,234,128,70,1251,307,98,92,6,0,0,0,0,153,0,0,153,0,56,51,5,387,82,4,4,0,197,30,74,372,134,238,6,0,0,6,179,100,30,49
"Hale County, Alabama",5039,2452,516,242,168,74,147,46,54,47,76,18,9,27,22,51,51,0,231,21,35,9,26,36,112,27,291,192,99,563,120,266,177,851,515,152,184,2587,811,205,147,58,12,0,0,12,336,50,4,278,4,258,129,129,599,230,25,11,14,151,80,113,997,298,699,15,15,0,0,165,124,24,17
"Henry County, Alabama",7049,3532,858,479,402,77,191,30,99,62,90,33,8,34,15,98,62,36,360,0,69,37,32,115,160,16,495,321,174,693,88,203,402,1126,410,463,253,3517,1404,405,249,156,40,4,20,16,571,59,24,482,6,388,296,92,909,212,33,0,33,439,117,108,907,266,641,91,0,91,0,206,148,27,31
"Houston County, Alabama",43805,22525,6072,2667,2054,613,989,413,433,143,1274,352,130,522,270,1142,843,299,3383,198,742,366,376,1201,945,297,4124,2809,1315,4241,211,2172,1858,4705,1983,1746,976,21280,7606,2182,1327,855,258,106,105,47,2721,414,287,1812,208,2445,1615,830,4639,1091,150,86,64,1576,682,1140,7466,2953,4513,200,78,71,51,1369,992,222,155
"Jackson County, Alabama",20965,11386,2372,1056,816,240,503,84,380,39,596,131,12,366,87,217,76,141,1170,45,322,135,187,209,547,47,1384,855,529,2398,324,1150,924,4062,2085,837,1140,9579,2808,662,432,230,37,2,35,0,1164,240,38,778,108,945,569,376,1736,338,124,64,60,440,391,443,3119,1069,2050,68,32,25,11,1848,1375,134,339
"Jefferson County, Alabama",297470,149947,51732,23951,17273,6678,9138,4313,3473,1352,12652,2312,2963,4950,2427,5991,4734,1257,21909,1020,4509,2789,1720,7850,6204,2326,27439,16571,10868,20779,416,11717,8646,28088,11589,9382,7117,147523,62946,20609,11509,9100,3797,1938,656,1203,21135,3107,2409,13304,2315,17405,11643,5762,28630,6427,1617,1240,377,8569,4520,7497,48516,16736,31780,1130,74,595,461,6301,3999,1172,1130
"Lamar County, Alabama",5148,3048,572,156,109,47,310,44,218,48,94,52,0,42,0,12,0,12,403,7,40,12,28,173,173,10,299,127,172,702,45,253,404,1072,565,302,205,2100,810,224,136,88,0,0,0,0,297,69,0,203,25,289,156,133,347,88,39,0,39,93,71,56,700,219,481,37,0,12,25,206,115,76,15
"Lauderdale County, Alabama",39275,20924,4955,2353,1942,411,986,220,602,164,1158,417,114,462,165,458,352,106,3265,112,777,419,358,1101,1150,125,3494,1961,1533,4110,253,2406,1451,5100,2527,1723,850,18351,6764,1936,1176,760,358,190,62,106,2529,477,244,1509,299,1941,1152,789,4090,746,180,108,72,1493,546,1125,6094,2402,3692,211,17,81,113,1192,697,277,218
