Plant Type,lat,lon,geometry
Poison Ivy,50.6970775042,-120.3718330818,POINT (-120.3718330818 50.6970775042)
Poison Ivy,39.8058089,-105.2718606,POINT (-105.2718606 39.8058089)
Poison Ivy,43.96662167,-78.62013833,POINT (-78.62013833 43.96662167)
Poison Ivy,47.3497814,-95.1727228,POINT (-95.1727228 47.3497814)
Poison Ivy,39.5209525,-77.5871945,POINT (-77.5871945 39.5209525)
Poison Ivy,42.5988076164,-76.1902639657,POINT (-76.1902639657 42.5988076164)
Poison Ivy,44.4699830999,-80.1032399803,POINT (-80.1032399803 44.4699830999)
Poison Ivy,41.6639847713,-87.0584764625,POINT (-87.0584764625 41.6639847713)
Poison Ivy,46.9362910884,-94.8569910229,POINT (-94.8569910229 46.9362910884)
Poison Ivy,45.5005075803,-73.5915502222,POINT (-73.5915502222 45.5005075803)
Poison Ivy,44.3733527778,-78.155625,POINT (-78.155625 44.3733527778)
Poison Ivy,46.9390145364,-94.8537368328,POINT (-94.8537368328 46.9390145364)
Poison Ivy,46.9369683462,-94.8564223108,POINT (-94.8564223108 46.9369683462)
Poison Ivy,44.7161222222,-65.4367611111,POINT (-65.4367611111 44.7161222222)
Poison Ivy,44.4700755564,-80.1033737457,POINT (-80.1033737457 44.4700755564)
Poison Ivy,44.1370299,-77.7918712997,POINT (-77.79187129970001 44.1370299)
Poison Ivy,45.3873530581,-77.7172880738,POINT (-77.71728807380001 45.3873530581)
Poison Ivy,44.7818132481,-81.1282841301,POINT (-81.1282841301 44.7818132481)
Poison Ivy,45.373695,-75.74852,POINT (-75.74852 45.373695)
Poison Ivy,43.2898229722,-79.935612,POINT (-79.93561200000001 43.2898229722)
Poison Ivy,47.35078333,-95.17369167,POINT (-95.17369167 47.35078333)
Poison Ivy,44.6344955775,-81.2508142854,POINT (-81.2508142854 44.6344955775)
Poison Ivy,46.0336494366,-78.5063381703,POINT (-78.5063381703 46.0336494366)
Poison Ivy,46.3383182778,-79.5607445833,POINT (-79.56074458330001 46.3383182778)
Poison Ivy,45.3654743099,-92.9038555993,POINT (-92.9038555993 45.3654743099)
Poison Ivy,47.348446699,-95.1631925619,POINT (-95.1631925619 47.348446699)
Poison Ivy,45.1030104468,-79.5202491247,POINT (-79.5202491247 45.1030104468)
Poison Ivy,44.7944851568,-93.4169806056,POINT (-93.4169806056 44.7944851568)
Poison Ivy,45.406825,-93.65674667,POINT (-93.65674667 45.406825)
Poison Ivy,35.8895519485,-106.3053478142,POINT (-106.3053478142 35.8895519485)
Poison Ivy,39.84417167,-105.218375,POINT (-105.218375 39.84417167)
Poison Ivy,46.1695860556,-83.0093505278,POINT (-83.0093505278 46.1695860556)
Poison Ivy,44.9765619676,-93.320348663,POINT (-93.320348663 44.9765619676)
Poison Ivy,43.45664319,-80.25325916,POINT (-80.25325916 43.45664319)
Poison Ivy,50.4053603827,-103.6558606848,POINT (-103.6558606848 50.4053603827)
Poison Ivy,44.7751694444,-93.3425694444,POINT (-93.3425694444 44.7751694444)
Poison Ivy,50.49049237,-97.03163731,POINT (-97.03163730999999 50.49049237)
Poison Ivy,50.1522574119,-96.9315953542,POINT (-96.9315953542 50.1522574119)
Poison Ivy,43.9020071857,-77.0116861712,POINT (-77.0116861712 43.9020071857)
Poison Ivy,44.7221665427,-79.0012816132,POINT (-79.00128161320001 44.7221665427)
Poison Ivy,49.8174135611,-97.2240935274,POINT (-97.2240935274 49.8174135611)
Poison Ivy,46.4289274486,-94.482152816,POINT (-94.482152816 46.4289274486)
Poison Ivy,45.8583583265,-77.6932282669,POINT (-77.69322826689999 45.8583583265)
Poison Ivy,46.5779279404,-87.4445978154,POINT (-87.4445978154 46.5779279404)
Poison Ivy,46.2758116737,-88.996283624,POINT (-88.996283624 46.2758116737)
Poison Ivy,45.14775827,-80.04766084,POINT (-80.04766084000001 45.14775827)
Poison Ivy,43.6511242353,-79.9141377067,POINT (-79.9141377067 43.6511242353)
Poison Ivy,45.159639,-76.1487404,POINT (-76.14874039999999 45.159639)
Poison Ivy,49.8269532994,-102.32648707,POINT (-102.32648707 49.8269532994)
