Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,mAP@0.5:0.95,Val GIoU,Val objectness,Val classification,model,n_images
0/299,11.7G,0.07852,0.1454,0.04826,0.2722,194,640,0.1427,0.1295,0.08166,0.02366,0.05825,0.1388,0.04586,YOLO v5,2000
1/299,11.6G,0.06136,0.1514,0.04527,0.258,156,640,0.1227,0.5103,0.1539,0.05778,0.05143,0.1527,0.04457,YOLO v5,2000
2/299,11.6G,0.05441,0.1433,0.042,0.2397,138,640,0.2592,0.3986,0.2368,0.08755,0.05086,0.1218,0.04836,YOLO v5,2000
3/299,11.6G,0.04969,0.1386,0.03904,0.2273,218,640,0.2257,0.6874,0.4197,0.2135,0.04109,0.1267,0.03564,YOLO v5,2000
4/299,11.6G,0.04623,0.1317,0.03513,0.2131,164,640,0.2784,0.7475,0.5309,0.2884,0.03798,0.1147,0.03083,YOLO v5,2000
5/299,11.6G,0.04416,0.1284,0.03194,0.2045,188,640,0.2493,0.7972,0.5764,0.3118,0.03684,0.1154,0.02795,YOLO v5,2000
6/299,11.6G,0.04294,0.1233,0.02743,0.1937,147,640,0.2864,0.8695,0.6761,0.3999,0.03455,0.1089,0.02271,YOLO v5,2000
7/299,11.6G,0.04173,0.1208,0.02428,0.1868,159,640,0.3341,0.8886,0.7442,0.4576,0.03358,0.1038,0.01861,YOLO v5,2000
8/299,11.6G,0.04058,0.1192,0.02088,0.1807,205,640,0.3683,0.9063,0.8029,0.5121,0.03204,0.09795,0.01354,YOLO v5,2000
9/299,11.6G,0.03946,0.1134,0.01875,0.1716,203,640,0.3053,0.9282,0.7927,0.5126,0.03209,0.1007,0.0175,YOLO v5,2000
10/299,11.6G,0.03861,0.1122,0.01618,0.167,237,640,0.3655,0.9197,0.811,0.5325,0.03112,0.09496,0.01355,YOLO v5,2000
11/299,11.6G,0.03773,0.1107,0.01472,0.1632,143,640,0.3958,0.9294,0.8503,0.5622,0.0306,0.09197,0.00943,YOLO v5,2000
12/299,11.6G,0.03681,0.109,0.01317,0.1589,151,640,0.3786,0.9531,0.8847,0.5956,0.02919,0.08959,0.007943,YOLO v5,2000
13/299,11.6G,0.03627,0.1054,0.01197,0.1536,206,640,0.3983,0.9372,0.865,0.5902,0.02867,0.08906,0.008391,YOLO v5,2000
14/299,11.6G,0.03598,0.1039,0.0111,0.151,200,640,0.3733,0.9579,0.8947,0.6163,0.02864,0.08629,0.006959,YOLO v5,2000
15/299,11.6G,0.03518,0.1023,0.00988,0.1474,166,640,0.4437,0.9626,0.9218,0.6449,0.02753,0.08154,0.004106,YOLO v5,2000
16/299,11.6G,0.03447,0.1004,0.00927,0.1442,204,640,0.4254,0.9718,0.9242,0.6578,0.0269,0.08231,0.005342,YOLO v5,2000
17/299,11.6G,0.03408,0.09824,0.008556,0.1409,176,640,0.3991,0.9748,0.9306,0.6571,0.02657,0.08098,0.004308,YOLO v5,2000
18/299,11.6G,0.03378,0.09728,0.008095,0.1392,185,640,0.4002,0.9708,0.9226,0.6523,0.02626,0.08268,0.005902,YOLO v5,2000
19/299,11.6G,0.03296,0.09451,0.007457,0.1349,152,640,0.4214,0.9794,0.9471,0.6841,0.02614,0.07872,0.00239,YOLO v5,2000
20/299,11.6G,0.03241,0.09319,0.007101,0.1327,156,640,0.4621,0.9775,0.9495,0.694,0.02513,0.07536,0.004246,YOLO v5,2000
21/299,11.6G,0.03229,0.09246,0.006876,0.1316,207,640,0.4959,0.9833,0.9637,0.7124,0.02492,0.07115,0.002138,YOLO v5,2000
22/299,11.6G,0.03165,0.09106,0.0063,0.129,200,640,0.4559,0.98,0.947,0.6998,0.0249,0.07187,0.005092,YOLO v5,2000
23/299,11.6G,0.03121,0.08996,0.006645,0.1278,191,640,0.5005,0.9846,0.9661,0.7196,0.02419,0.0693,0.002088,YOLO v5,2000
24/299,11.6G,0.03114,0.08948,0.006316,0.1269,145,640,0.4589,0.988,0.972,0.7321,0.02378,0.06917,0.001346,YOLO v5,2000
25/299,11.9G,0.03072,0.08812,0.005682,0.1245,134,640,0.5014,0.9898,0.9772,0.7397,0.02321,0.06587,0.001295,YOLO v5,2000
26/299,11.9G,0.03018,0.08574,0.0054,0.1213,188,640,0.4912,0.992,0.9801,0.7476,0.02305,0.06663,0.001228,YOLO v5,2000
27/299,11.9G,0.02965,0.08526,0.005232,0.1201,207,640,0.4461,0.9927,0.9812,0.7539,0.0224,0.06805,0.001015,YOLO v5,2000
28/299,11.9G,0.02957,0.08475,0.004613,0.1189,161,640,0.5377,0.9918,0.984,0.7651,0.02198,0.06245,0.001356,YOLO v5,2000
29/299,11.9G,0.0293,0.08333,0.004823,0.1175,196,640,0.5494,0.9936,0.9845,0.7626,0.02201,0.06163,0.000841,YOLO v5,2000
30/299,11.9G,0.02888,0.08251,0.004632,0.116,142,640,0.5066,0.993,0.9856,0.771,0.0218,0.06225,0.001046,YOLO v5,2000
31/299,11.9G,0.02847,0.08188,0.004211,0.1146,216,640,0.6013,0.9939,0.9891,0.7841,0.0211,0.05808,0.000692,YOLO v5,2000
32/299,11.9G,0.02838,0.08084,0.004633,0.1138,208,640,0.4939,0.996,0.9862,0.7757,0.02098,0.06214,0.001099,YOLO v5,2000
33/299,11.9G,0.0282,0.08018,0.004493,0.1129,170,640,0.5521,0.9943,0.9897,0.7873,0.02058,0.0582,0.0006219,YOLO v5,2000
